molecule_chembl_id,canonical_smiles,pIC50
CHEMBL2112391,Cc1cccc2c1OP(=O)(OC[C@@H]1C[C@@H](F)[C@H](n3cnc4c(N)ncnc43)O1)OC2,5.958607314841775
CHEMBL95465,COC(=O)CCc1cccc2c1OP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)OC2,5.568636235841013
CHEMBL419521,CCC(C)c1ccc2c(c1)COP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)O2,5.481486060122113
CHEMBL541464,Cc1cn(C2C=CC(COP3(=O)Oc4cccc(Cl)c4C(C)O3)O2)c(=O)[nH]c1=O,5.7447274948966935
CHEMBL328165,CCCCC1OP(=O)(OCC2C=CC(n3cc(C)c(=O)[nH]c3=O)O2)Oc2cccc(Cl)c21,4.886056647693163
CHEMBL433371,CCOC(=O)CC1OP(=O)(OCC2C=CC(n3cc(C)c(=O)[nH]c3=O)O2)Oc2cccc(Cl)c21,4.301029995663981
CHEMBL2114383,COc1ccc2c(c1)CO[P@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)O2,4.301029995663981
CHEMBL2165109,Cc1cccc2c1O[P@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)OC2,6.619788758288394
CHEMBL2114298,Cc1cccc2c1O[P@@](=O)(OC[C@H](CO)OCn1cnc3c(O)nc(N)nc31)OC2,4.638272163982407
CHEMBL94571,Cc1cccc2c1OP(=O)(OCC1OC(n3cc(C)c(=O)[nH]c3=O)CC1=O)OC2,4.301029995663981
CHEMBL3142699,Cc1cccc2c1OP(=O)(OC[C@H]1O[C@@H](N3C=NC4C(=O)N=C(N)N=C43)C[C@@H]1O)OC2,4.301029995663981
CHEMBL97804,Cc1cn(C2C=CC(COP3(=O)OCc4cc(-c5ccccc5)ccc4O3)O2)c(=O)[nH]c1=O,5.356547323513812
CHEMBL95375,Cc1cn(C2C=CC(COP3(=O)OCc4ccc5ccccc5c4O3)O2)c(=O)[nH]c1=O,6.6020599913279625
CHEMBL305670,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN[C@@H]1N2C,7.455931955649724
CHEMBL75729,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CCc3ccccc3)[C@@H]1N2C,8.154901959985743
CHEMBL74950,COc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,6.638272163982407
CHEMBL74107,CCCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,8.045757490560675
CHEMBL74257,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)[C@@H]1N2C,7.259637310505756
CHEMBL307721,C=CCN1CC[C@@]2(C)c3cc(OC(=O)NC)ccc3N(C)[C@@H]12,7.795880017344075
CHEMBL308503,CN1CC[C@@]2(C)c3cc(OC(=O)NC(C)(C)C)ccc3N(C)[C@@H]12,4.958607314841775
CHEMBL308043,CN(C)C(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,5.522878745280337
CHEMBL74926,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12,5.6020599913279625
CHEMBL424100,C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)C([C@H](C)N(C)C)=CC[C@@H]32)C1)C(C)C,5.437707135543525
CHEMBL359415,C/C(=C\C(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1)C(C)C,5.334419008982047
CHEMBL343365,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](NC(=O)c5ccccc5)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C)N(C)C,4.539102157243452
CHEMBL146254,CC(=O)O[C@H]1[C@@H](NC(=O)C=C(C)C)CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)N(C)C)CC[C@H]4[C@@H]3CC[C@@H]12,5.638272163982407
CHEMBL343054,C/C=C(\C)C(=O)N[C@@H]1[C@H](OC(C)=O)[C@@H]2CC[C@H]3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@@H]1O,4.416121401501374
CHEMBL146080,C/C=C(\C)C(=O)N[C@@H]1C=C2CC[C@@H]3[C@H](CC[C@]4(C)C([C@H](C)N(C)C)=CC[C@@H]34)[C@@]2(C)C[C@H]1O,4.623788149717327
CHEMBL343780,C/C=C(\C)C(=O)N[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1=O,5.6777807052660805
CHEMBL422098,CC(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1,4.987162775294828
CHEMBL413039,CC(=O)O[C@H]1[C@@H](NC(=O)c2ccccc2)[C@@H](O)C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)N(C)C)CC[C@H]4[C@@H]3CC[C@@H]12,4.744968836654449
CHEMBL421920,C/C=C(\C)C(=O)N[C@@H]1[C@H](OC(C)=O)[C@@H]2CC[C@@H]3[C@H](CC[C@]4(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]34)[C@@]2(C)C[C@@H]1O,4.739928612014925
CHEMBL137039,C/C=C(\C)C(=O)N[C@H]1CC[C@@]2(C)C(=CC[C@H]3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1=O,5.367542707815276
CHEMBL409854,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C(=O)/C=C/c5ccccc5)CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,5.315154638355588
CHEMBL335133,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C(=O)C(NC(=O)c5ccccc5)=CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,5.603800652904264
CHEMBL344593,C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1)C(C)C,5.39040559077478
CHEMBL147346,CN[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C(C)=O)CC[C@@H]32)C1,4.782516055786093
CHEMBL553187,CN(CCCCCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1.Cl,6.468521082957745
CHEMBL130956,Cc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,6.6020599913279625
CHEMBL335167,CCc1cccc(CC)c1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,5.958607314841775
CHEMBL130270,CC(C)c1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,6.187086643357144
CHEMBL340867,Cc1cccc(C)c1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,6.5376020021010435
CHEMBL340391,CCc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,5.535361440904967
